application,load,type,compressor,iteration,time,repetition
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,52.105151653289795,0
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,54.50040054321289,1
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,57.12887167930603,2
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,53.110345125198364,3
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.27351212501526,4
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,55.83378863334656,5
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,53.60224151611328,6
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.274991273880005,7
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.09659767150879,8
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,55.36629939079285,9
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.60870862007141,10
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,58.4129843711853,11
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.17981576919556,12
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,52.779167890548706,13
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.174099922180176,14
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.82467198371887,15
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,52.911723136901855,16
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,57.19513750076294,17
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.5404851436615,18
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,53.16948223114014,19
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.3824896812439,20
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.627630949020386,21
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,56.00714921951294,22
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,53.82154107093811,23
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,55.910346031188965,24
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,55.36378622055054,25
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,53.03852200508118,26
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,58.72429847717285,27
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,57.99267315864563,28
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,53.579553842544556,29
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.528803825378418,0
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.521169424057006,1
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.76386547088623,2
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.473881244659423,3
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.6424024105072021,4
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.554797172546386,5
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.484564304351806,6
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.579589128494262,7
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,2.858837127685547,8
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.432365894317627,9
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.54539680480957,10
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.477030515670776,11
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.484717369079589,12
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.9934413433074951,13
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.9688386917114251,14
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.738187074661254,15
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.48949122428894,16
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.520371913909912,17
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.462976694107055,18
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.514421224594116,19
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,2.867128610610962,20
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.550955057144165,21
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.537912368774414,22
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.511319160461425,23
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.529723644256591,24
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,2.001426458358764,25
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.5411648750305171,26
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.316306352615356,27
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.308071851730346,28
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.280073642730713,29
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.281240463256836,0
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,19.43801188468933,1
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.794821739196777,2
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.707666397094727,3
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,22.72719168663025,4
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.39320397377014,5
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,24.98431968688965,6
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,18.220616579055786,7
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.352407217025757,8
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,22.24035930633545,9
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,20.413663625717163,10
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,22.02492356300354,11
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,18.59695291519165,12
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.295385360717773,13
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,20.584649562835693,14
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.595054388046265,15
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,22.63431143760681,16
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,18.611897230148315,17
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,21.676794052124023,18
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,23.081526279449463,19
