application,load,type,compressor,iteration,mean_time
YATSERVER,BINCSVH1,ALTCONTROL,entropy,3,1.6493076960245763
YATSERVER,BINCSVH1,ALTCONTROL,heif,3,55.48454889456431
YATSERVER,BINCSVH1,ALTCONTROL,ppmd,-1,20.937542875607807
YATSERVER,BINCSVH1,ALTCONTROL,zlib,-1,6.392892797787984
YATSERVER,BINCSVH1,BCLEAN,entropy,3,1.5212877750396727
YATSERVER,BINCSVH1,BCLEAN,heif,11,190.39787804285686
YATSERVER,BINCSVH1,BCLEAN,ppmd,2,1.4694059213002517
YATSERVER,BINCSVH1,BCLEAN,zlib,4,0.7867915232976274
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.70126834710439
YATSERVER,BINCSVH1,INFINITE,heif,11,189.99187808036805
YATSERVER,BINCSVH1,INFINITE,ppmd,2,1.4980163892110183
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.5082816282908117
YATSERVER,BINCSVH1,MONO,entropy,2,1.468375118573506
YATSERVER,BINCSVH1,MONO,heif,7,114.89238249460855
YATSERVER,BINCSVH1,MONO,ppmd,2,1.4986814578374223
YATSERVER,BINCSVH1,MONO,zlib,2,0.5053309520085649
YATSERVER,BINCSVH1,NOBREAK,entropy,8,4.136436899503072
YATSERVER,BINCSVH1,NOBREAK,heif,14,255.22311387062072
YATSERVER,BINCSVH1,NOBREAK,ppmd,13,7.730218696594238
YATSERVER,BINCSVH1,NOBREAK,zlib,21,4.233842722574869
YATSERVER,BINCSVH1,SLEEP,entropy,3,1.8104447762171423
YATSERVER,BINCSVH1,SLEEP,heif,5,85.39019185702006
YATSERVER,BINCSVH1,SLEEP,ppmd,2,1.433305176099141
YATSERVER,BINCSVH1,SLEEP,zlib,7,1.2347208658854165
YATSERVER,BINCSVH1,SWAP,entropy,9,4.380791544914246
YATSERVER,BINCSVH1,SWAP,heif,8,133.01033934752147
YATSERVER,BINCSVH1,SWAP,ppmd,6,3.504713741938273
YATSERVER,BINCSVH1,SWAP,zlib,5,0.9288540601730342
YATSERVER,BINCSVH1,UNLOCK,entropy,4,1.8924350738525388
YATSERVER,BINCSVH1,UNLOCK,heif,10,174.43285722732543
YATSERVER,BINCSVH1,UNLOCK,ppmd,2,1.4180260260899857
YATSERVER,BINCSVH1,UNLOCK,zlib,5,0.9111426035563147
YATSERVER,BINCSVH2,ALTCONTROL,entropy,2,1.0508282820383703
YATSERVER,BINCSVH2,ALTCONTROL,heif,6,96.22269569238027
YATSERVER,BINCSVH2,ALTCONTROL,ppmd,-1,20.453640198707582
YATSERVER,BINCSVH2,ALTCONTROL,zlib,-1,6.715064326922099
YATSERVER,BINCSVH2,BCLEAN,entropy,2,1.1853325605392453
YATSERVER,BINCSVH2,BCLEAN,heif,8,132.2495809475581
YATSERVER,BINCSVH2,BCLEAN,ppmd,2,1.2827883640925086
YATSERVER,BINCSVH2,BCLEAN,zlib,2,0.5242124716440831
