compressor,mean_0-10 repetições,mean_0-30 repetições,std_0-10 repetições,std_0-30 repetições,std_diff_%,mean_diff_%,application,load,type
entropy,1.6840276002883907,1.6493076960245763,0.42345011287425494,0.3739250194191617,13.244658924407709,2.105119884391607,YATSERVER,BINCSVH1,ALTCONTROL
heif,55.02921996116638,55.48454889456431,1.6315353546562588,1.7976047433046825,-9.238370629970905,-0.8206409576532339,YATSERVER,BINCSVH1,ALTCONTROL
ppmd,21.51398389339447,20.937542875607807,1.8076965109487397,1.537950554371985,17.539312678807438,2.7531454918629263,YATSERVER,BINCSVH1,ALTCONTROL
zlib,6.3764056921005245,6.392892797787984,0.07946192882192217,0.12301770525748328,-35.40610381602901,-0.2578974215423118,YATSERVER,BINCSVH1,ALTCONTROL
entropy,1.50082676410675,1.5212877750396727,0.5756908942952931,0.6600977333943445,-12.78702150134888,-1.344979646102069,YATSERVER,BINCSVH1,BCLEAN
heif,189.5488643884659,190.39787804285686,2.6141642022124274,2.744176570104495,-4.737755190698862,-0.44591550237753563,YATSERVER,BINCSVH1,BCLEAN
ppmd,1.2773928642272945,1.4694059213002517,0.023436969037715787,0.6560564744776326,-96.42759885017874,-13.067393719432424,YATSERVER,BINCSVH1,BCLEAN
zlib,0.7875118970870967,0.7867915232976274,0.030730562767315662,0.032035796663118475,-4.074298228098933,0.09155840754995231,YATSERVER,BINCSVH1,BCLEAN
entropy,1.7476698398590085,1.70126834710439,0.7086098971825239,0.7710566187417017,-8.098850336190038,2.727464649159865,YATSERVER,BINCSVH1,INFINITE
heif,187.56941223144528,189.99187808036805,1.7582025421422307,3.9293070958918928,-55.25413261843445,-1.2750365296657824,YATSERVER,BINCSVH1,INFINITE
ppmd,1.6554644584655758,1.4980163892110183,1.007182804228373,0.6612307012636683,52.31942532365189,10.510437027827372,YATSERVER,BINCSVH1,INFINITE
zlib,0.5144295930862421,0.5082816282908117,0.03362332197511027,0.03394666687825026,-0.9525085461252096,1.2095587275314446,YATSERVER,BINCSVH1,INFINITE
entropy,1.2947783231735224,1.468375118573506,0.10815464091804884,0.49405215349853326,-78.1086591461705,-11.822373806539924,YATSERVER,BINCSVH1,MONO
heif,114.96521444320679,114.89238249460855,3.2999802991062386,2.460238941116922,34.13251225135404,0.0633914512144903,YATSERVER,BINCSVH1,MONO
ppmd,1.2907517910003659,1.4986814578374223,0.03481758045055335,0.6241593176677563,-94.42168378088894,-13.874173577692506,YATSERVER,BINCSVH1,MONO
zlib,0.4789553880691525,0.5053309520085649,0.0051731624383333915,0.04043230680802416,-87.20537400228984,-5.219463370406289,YATSERVER,BINCSVH1,MONO
entropy,3.583802366256714,4.136436899503072,1.0044201319772157,1.4419751092892563,-30.34414217647,-13.360158674552691,YATSERVER,BINCSVH1,NOBREAK
heif,255.29729163646698,255.22311387062072,3.442818671596057,4.1331475307876495,-16.70225546147,0.0290638903041755,YATSERVER,BINCSVH1,NOBREAK
ppmd,7.658608245849609,7.730218696594238,1.2369021016109547,1.292788667966258,-4.322946800208327,-0.926370307947159,YATSERVER,BINCSVH1,NOBREAK
zlib,4.212167382240295,4.233842722574869,0.08806627774197219,0.1176495616493002,-25.145256380565506,-0.5119543108911664,YATSERVER,BINCSVH1,NOBREAK
entropy,2.115409111976623,1.8104447762171423,1.1144565645050855,0.8039408652218374,38.62419646967009,16.84471903068442,YATSERVER,BINCSVH1,SLEEP
heif,84.72450940608978,85.39019185702006,1.6011672433374913,2.367658014818745,-32.37337346373192,-0.7795771814694076,YATSERVER,BINCSVH1,SLEEP
ppmd,1.4679223060607907,1.433305176099141,0.5679326772702765,0.4402587757190637,28.999740287444865,2.415196047492339,YATSERVER,BINCSVH1,SLEEP
zlib,1.232283544540405,1.2347208658854165,0.012879161813980343,0.018564937740103715,-30.626420652308674,-0.19739857099310554,YATSERVER,BINCSVH1,SLEEP
entropy,4.404029607772827,4.380791544914246,1.1612986153081462,1.0562597949650545,9.944411483215337,0.5304535178250859,YATSERVER,BINCSVH1,SWAP
heif,133.90330924987794,133.01033934752147,4.417551399986933,2.8067904233755274,57.38800315109589,0.6713537509466622,YATSERVER,BINCSVH1,SWAP
ppmd,3.135781240463256,3.504713741938273,0.45833099876709776,0.9980244658118326,-54.0761760390039,-10.526751359469932,YATSERVER,BINCSVH1,SWAP
zlib,0.9319987297058102,0.9288540601730342,0.055037386965942764,0.047662038989919796,15.474260296717068,0.33855367248868146,YATSERVER,BINCSVH1,SWAP
